Имя	Класс	Вид	Подвиды	Тип	Местонахождение	Тактика	Иммунитет	Уязвимость
Ignis Fatuus	Трупоеды	Туманник	Неизвестно	Одиночка	Пещера в  Кривоуховых топях	Использует туман и иллюзии	Неизвестно	Знак Квен    Лунная пыль    Масло против трупоедов
Абайя	Трупоеды	Водная баба	Неизвестно	Одиночка/Вожак	Кьераг ,  Ард Скеллиг	Неизвестно	Неизвестно	Знак Квен  Масло против трупоедов  Северный ветер
Альгуль	Трупоеды	Гуль	Неизвестно	Стайные	Кладбища, склепы, места сражений	Атакуют группами по несколько особей	Неизвестно	Масло против трупоедов  Знак Аксий
Альп	Вампир	Неизвестно	Неизвестно	Одиночные	Окрестности  Туссента	Пытаются запрыгнуть и выпить кровь	К оглушению	Масло против вампиров  Черная кровь
Арахноморф	Инсектоиды	Неизвестно	Неизвестно	Стайные	Густые леса, пещеры, болота	Обездвиживают и атакуют с разных сторон	Неизвестно	Масло против инсектоидов  Знак Игни  Знак Аксий  Северный ветер
Архиспора[2]	Проклятые	Неизвестно	Коричневая, Зелёная,  Пурпурная, Жёлтая	Одиночки/Группы	Туссент	Неизвестно	Неизвестно	Знак Игни  Знак Аард  Масло против проклятых  Иволга
Архигрифон	Гибриды	Грифон	Неизвестно	Одиночки	Снидхалль  Велен  Золотые поля	Быстрое пикирование с высоты и нанесение когтями кровоточащих ран, плевки ядовитой кислотой сверху	К оглушению, к огню	Масло против гибридов  Арбалет  Знак Аард
Баргест	Духи и Призраки	Неизвестно	Неизвестно	Стайные	Туссент	Неизвестно	Знак Игни	Лунная пыль  (бомба)  Знак Аксий  Знак Ирден  Масло против призраков
Бенн'ши	Духи и Призраки	Неизвестно	Неизвестно	Одиночки	Туссент	Неизвестно	Неизвестно	Масло против призраков  Знак Ирден
Белая Дама	Духи и призраки	Полуденница	Неизвестно	Одиночка	Поле вблизи  Новиграда	Ослепление, создание копий	К оглушению и огню	Знак Ирден  Лунная пыль  Масло против призраков .
Берсерк	Проклятые	Неизвестно	Неизвестно	Стайные	Архипелаг  Скеллиге	Мощные силовые атаки, оглушение противника	Неизвестно	Знак Игни  Знак Квен  Чертов гриб  Масло против проклятых
Бес	Реликты	Неизвестно	Неизвестно	Одиночки	Чащи лесов, болота, пещеры	Сбивает с ног, рвёт когтями и зубами	Неизвестно	Знак Игни  Масло против реликтов  Знак Квен  Самум  Северный ветер
Бледная вдова	Инсектоиды	Сколопендроморф	Неизвестно	Стайные	Пещеры и подземелья в  Туссенте	Плюется ядом, перемещается под землей	К оглушению	Масло против инсектоидов  Знак Ирден  Северный ветер
Большой злой волк	Бестии	Волколак	Неизвестно	Одиночки	Страна Тысячи Сказок	Неизвестно	Неизвестно	Масло против зверей  Знак Игни  Картечь
Боровой	Реликты	Леший	Неизвестно	Одиночки	Леса вокруг  Боклера	Физические атаки	Неизвестно	Знак Игни  Двимеритовая бомба  Масло против реликтов
Брукса	Вампир	Неизвестно	Неизвестно	Одиночки/Пары	Туссент	Невидимость, звуковая волна, мощные атаки, восстанавливает здоровье, выпивая кровь противника	К оглушению	Масло против вампиров  Лунная пыль  Черная кровь
Брукса из Корво Бьянко	Вампир	Брукса	Неизвестно	Неизвестно	Корво Бьянко  Туссент	Невидимость, пытается запрыгнуть на плечи и вцепиться в шею	Неизвестно	Масло против вампиров  Лунная пыль  Знак Ирден  Чёрная кровь
Варг	Бестии	Волк	Неизвестно	Стайные/Вожак	Дикая природа, окрестности людских поселений	Нападают группами по несколько особей	Неизвестно	Картечь  Знак Игни  Масло против зверей
Василиск	Дракониды	Неизвестно	Серебристый василиск	Одиночки	Неизвестно	Бросок с неба, отравляют сильным ядом	Неизвестно	Масло против драконидов  Знак Аард  Картечь  Иволга
Великан	Огры	Неизвестно	Ледяной великан	Одиночки	Ундвик  Туссент	Неизвестно	Неизвестно	Неизвестно
Виверна	Дракониды	Неизвестно	Королевская виверна	Стайные	Горная местность	Быстрые атаки с воздуха	К огню	Иволга  Масло против драконидов  Знак Аард  Картечь  (бомба)
Вилохвост	Дракониды	Неизвестно	Неизвестно	Одиночные	Велен ,  Скеллиге ,  Туссент	Мощные удары хвостом	Неизвестно	Масло против драконидов  Знак Квен  Иволга  Картечь
Вихт	Трупоеды	Неизвестно	Пятнистый Вихт	Одиночки	Туссент	Призыв  баргестов	Неизвестно	Масло против трупоедов  Знак Аксий
Водная баба	Трупоеды	Неизвестно	Водница	Одиночки	Пещеры, Болота	Неизвестно	Неизвестно	Знак Квен  Знак Игни  Масло против трупоедов  Северный ветер
Волк	Бестии	Неизвестно	Варг	Стайные	Дикая природа, окрестности людских поселений	Нападают группами по несколько особей	Неизвестно	Картечь  (бомба)  Знак Игни
Волколак	Проклятые	Неизвестно	Ульфхединн	Одиночки/Стайные	В городах или около  людских  поселений	Неизвестно	Неизвестно	Лунная пыль  Чертов гриб  Масло против проклятых  Знак Игни
Гаргулья	Духи стихий [2]	Неизвестно	Неизвестно	Одиночные	Неизвестно	Физические атаки	К физическому урону,  знаку Аксий	Знак Квен  Масло против магических тварей  Двимеритовая бомба
Гаркаин	Вампир	Неизвестно	Гаркаин-вожак	Одиночка/Вожак	Туссент	Неизвестно	Неизвестно	Лунная пыль  Самум  Масло против вампиров  Чёрная кровь
Гаркаин-вожак	Вампир	Гаркаин	Неизвестно	Одиночки	Туссент	Неизвестно	Неизвестно	Масло против вампиров  Лунная пыль  Знак Ирден  Чёрная кровь
Гарпия	Гибриды	Неизвестно	Эриния	Стайные	Велен  Скеллиге	Атаки с воздуха	Неизвестно	Масло против гибридов  Знак Аард  Картечь
Гнилец	Трупоеды	Неизвестно	Пожиратель  Падальщик	Стайные	Поля боя, кладбища	Атакуют группами, взрываются перед смертью	Неизвестно	Масло против трупоедов  Знак Аард  Северный ветер
Големы	Духи стихий [1]	Неизвестно	Неизвестно	Одиночки	Эльфские  руины и пещеры	Может сбить с ног, оглушить и убить противника	К ударам меча и большинству воздействий	Масло против магических тварей  Двимеритовая бомба
Голем Моро	Духи стихий	Голем	Неизвестно	Одиночные	Пещера к юго-востоку от  Синего Ока	Неизвестно	К оглушению	Двимеритовая бомба  Масло против магических тварей
Голиаф	Огры	Великан	Неизвестно	Одиночки	Туссент	Неизвестно	Неизвестно	Масло против огров  Знак Квен
Гончая Дикой Охоты	Духи стихий	Неизвестно	Неизвестно	Стайные	Рядом с  Дикой Охотой	Неизвестно	Неизвестно	Знак Игни  Масло против магических тварей
Грифон	Гибриды	Неизвестно	Архигрифон  Королевский грифон	Одиночки	Скеллиге ,  Велен ,   около  Оксенфурта ,   вблизи  Белого Сада	Быстрое пикирование с высоты и нанесение когтями страшных ран	К оглушению	Масло против гибридов  Картечь  Знак Аард
Гротник	Реликты	Леший	Неизвестно	Одиночки	Пещера Гротника	Физические атаки  Управление корнями	Неизвестно	Знак Игни  Двимеритовая бомба  Масло против реликтов
Гуль	Трупоеды	Неизвестно	Альгуль	Неизвестно	Неизвестно	Атакуют группами по несколько особей	Неизвестно	Знак Игни  Масло против трупоедов  Северный ветер
Гэль	Вампир	Катакан	Неизвестно	Одиночные	Оксенфурт	Неизвестно	Отсутствует	Масло против вампиров  Знак Игни  Лунная пыль  Знак Ирден
Джинн	Духи стихий	Неизвестно	Неизвестно	Одиночные	Неизвестно	Неизвестно	Неизвестно	Масло против магических тварей  Двимеритовая бомба
Долговласка	Духи и призраки	Призрак	Неизвестно	Одиночки	Страна тысячи сказок	Неизвестно	Неизвестно	Неизвестно
Дракон из Фирсдаля	Дракониды	Синий вилохвост	Неизвестно	Одиночка	Окрестности  Фирсдаля  Ард Скеллиг ,  Скеллиге	Неизвестно	Неизвестно	Иволга  Картечь  (бомба)  Знак Аард  Знак Ирден  Масло против драконидов
Дух Леса	Реликты	Древний леший	Неизвестно	Неизвестно	Ферлунд ,  Ард Скеллиг	Призыв волков	Неизвестно	Знак Игни  Двимеритовая бомба  Знак Аард  Масло против реликтов  Танцующая звезда  (бомба)  Картечь  (бомба)
Жальница	Трупоеды	Кладбищенская баба	Неизвестно	Неизвестно	Кладбище возле  Залипья	Неизвестно	Неизвестно	Знак Квен  Знак Игни  Масло против трупоедов  Северный ветер  (бомба)
Злобная Ведьма	Реликты	Ведьма	Неизвестно	Одиночки	Страна Тысячи Сказок	Летает на ступе	Неизвестно	Масло против реликтов  Знак Игни  Картечь
Игоша	Проклятые	Неизвестно	Неизвестно	Одиночные	Неизвестно	Силовые атаки	Неизвестно	Масло против проклятых  Знак Аксий
Катакан	Вампир	Неизвестно	Неизвестно	Одиночки	Людские поселения	Атаки со спины, становление невидимым, регенерация здоровья	Отсутствует	Масло против вампиров  Чертов гриб  Лунная пыль  Знак Ирден  Знак Игни
Кернун	Реликты	Леший	Неизвестно	Неизвестно	Велен	Призыв волков	Неизвестно	Знак Игни  Двимеритовая бомба  Знак Аард  Масло против реликтов  Танцующая звезда  (бомба)  Картечь  (бомба)
Кикимора-рабочий	Инсектоиды	Кикимора	Неизвестно	Общественные	Сырые места, пещеры, водоёмы	Неизвестно	Неизвестно	Масло против инсектоидов  Белый мед  Знак Игни
Кикимора-солдат	Инсектоиды	Кикимора	Неизвестно	Стайные	Сырые места, пещеры, водоёмы	Неизвестно	Неизвестно	Масло против инсектоидов  Белый мед  Знак Игни
Кладбищенская баба	Трупоеды	Неизвестно	Неизвестно	Одиночка	Около кладбищ и других мест захоронений	Физические атаки	К ядам и оглушению	Знак Квен  Знак Игни  Масло против трупоедов  Северный ветер  (бомба)  Самум  (бомба)
Клекотун	Дракониды [1]  Орниторептилии	Куролиск	Неизвестно	Одиночные	Окрестности  Врониц  Велен	Быстрые атаки с воздуха	Неизвестно	Картечь  Знак Аард  Масло против драконидов
Ключник	Реликты	Существо из другого мира,  демон	Неизвестно	Одиночка	Резиденция Эвереков	Восстанавливает здоровье, нанося урон	Неизвестно	Масло против реликтов ,  знак Квен
Куролиск	Дракониды [1]  Орнитозавры	Неизвестно	Неизвестно	Одиночки	К востоку от  Врониц	Неизвестно	К большинству ядов	Картечь  Масло против драконидов  Знак Аард
Королевская виверна	Дракониды	Виверна	Неизвестно	Парные	Неизвестно	Атаки с воздуха	Неизвестно	Масло против драконидов  Знак Аард  Картечь  (бомба)  Иволга
Король Волков	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно
Кошмар	Духи и призраки	Неизвестно	Неизвестно	Одиночки	Пустынь Пинастри ,  Кладбище у Монкрана	Неизвестно	Неизвестно	Масло против призраков
Главоглаз	Инсектоиды	Неизвестно	Неизвестно	Одиночки	Неизвестно	Неизвестно	К ядам и оглушению	Масло против инсектоидов  Знак Игни
Красный Мор	Духи и призраки	Неизвестно	Неизвестно	Одиночные	Дьяволова яма	Неизвестно	Неизвестно	Зелье Рейнальда
Крыса	Бестии	Неизвестно	Неизвестно	Стайные	Повсеместно	Неизвестно	Неизвестно	Неизвестно
Кухарка	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно
Ледяной Великан	Огры	Великан	Неизвестно	Одиночки	Архипелаг  Скеллиге , остров  Ундвик	Неизвестно	Неизвестно	Масло против огров  Гром
Ледяной тролль	Огры	Тролль	Неизвестно	Стайные/Одиночки	Архипелаг  Скеллиге	Неизвестно	Неизвестно	Масло против огров  Знак Игни
Лешачиха	Духи и призраки	Полуночница	Неизвестно	Одиночные	Велен ,  Деревня Подлесье	Ослепление  Исчезновение  Создание зеркальных копий  Обращение в нематериальную форму, превращение в материальную форму во время атаки	Неизвестно	Масло против призраков     Лунная пыль     Знак Квен     Знак Ирден
Леший	Реликты	Неизвестно	Боровой  Гротник	Одиночки	Древние чащи	Призыв  волков	К оглушению	Знак Игни  Двимеритовая бомба  Масло против реликтов
Лихо у Колодца	Духи и призраки	Полуденница	Неизвестно	Одиночки	Покинутая деревня	Перемещается в нематериальной форме. Принимает материальную форму во время атаки.	Неизвестно	Знак Ирден     Лунная пыль     Масло против призраков
Медведь	Бестии	Неизвестно	Неизвестно	Одиночные/Стайные	Дикая природа, вдали от  людских  поселений	Бежит на противника, пытаясь «заключить в объятия» и задавить массой	К оглушению	Масло против зверей  Знак Игни  Знак Квен
Медоносный Призрак	Духи стихий	Гончая Дикой Охоты	Неизвестно	Неизвестно	Пасека Майерсдорфов	Неизвестно	Неизвестно	Двимеритовая бомба  Масло против магических тварей  Знак Квен
Морвудд	Реликты	Бес	Неизвестно	Неизвестно	Ард Скеллиг ,  Скеллиге	Силовые атаки	Отсутствует	Знак Квен  Знак Ирден  Масло против реликтов  Самум  (бомба)  Северный ветер  (бомба)
Моровая дева	Духи и призраки	Неизвестно	Неизвестно	Одиночные	Мышиная башня,  Коломница	Неизвестно	Неизвестно	Масло против призраков  Лунная пыль  Знак Ирден
Мыргыфф	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно
Накер	Огры	Неизвестно	Накер-воин	Стайные	Леса и пещеры	Одновременно атакуют группой	Неизвестно	Северный ветер  Масло против огров
Накер-воин	Огры	Накер	Неизвестно	Стайные/Вожак	Леса и пещеры	Атакуют вместе с обычными  накерами , изредка поодиночке или небольшими группами	Неизвестно	Масло против огров  Северный ветер
Облачный великан	Огры	Великан	Неизвестно	Одиночки	Страна тысячи сказок	Неизвестно	Неизвестно	Неизвестно
Опиник	Гибриды	Архигрифон	Неизвестно	Одиночные	Лес около стен  Оксенфурта	Быстрые атаки с воздуха	Огонь	Картечь  Масло против гибридов  Знак Аард
Ящер	Дракониды	Неизвестно	Неизвестно	Одиночки/Семейные группы	Туссент	Неизвестно	Неизвестно	Масло против драконидов  Знак Аард
Падальщик	Трупоеды	Гнилец	Неизвестно	Стайные	Туссент , окрестности  Боклера	Атакуют группами, взрываются перед смертью	Неизвестно	Масло против трупоедов  Знак Игни  Знак Аард  Северный ветер
Пантера	Бестии	Неизвестно	Неизвестно	Одиночки/Стайные	Туссент	Быстрые атаки	Неизвестно	Масло против зверей  Знак Игни
Панцирный Главоглаз	Инсектоиды	Главоглаз	Неизвестно	Одиночки	Велен  Архипелаг  Скеллиге	Неизвестно	К ядам и оглушению	Знак Ирден  Знак Квен  Иволга  Масло против инсектоидов
Песчаный червь	Инсектоиды	Неизвестно	Неизвестно	Стайные	Ddiddiwedht	Нападают группами	Неизвестно	Неизвестно
Топляк	Трупоеды	Утопец	Неизвестно	Стайные/Вожак	Неизвестно	Неизвестно	Неизвестно	Знак Игни  Масло против трупоедов
Пожиратель	Трупоеды	Гнилец	Неизвестно	Стайные/Вожаки	Кладбища, заброшенные поселения	Нападают группами по несколько особей, взрываются перед смертью	Неизвестно	Знак Игни  Масло против трупоедов
Покаянник	Духи и призраки	Призрак	Неизвестно	Одиночные\Вожак	Маяк Эльдберг ,  Ард Скеллиг	Призывает  призраков	Неизвестно	Масло против призраков  Знак Квен  Знак Ирден
Полуденница	Духи и призраки	Неизвестно	Неизвестно	Одиночки	Неизвестно	Перемещается в нематериальной форме. Принимает материальную форму во время атаки.	Неизвестно	Знак Ирден  Лунная пыль  Масло против призраков
Полуночница	Духи и призраки	Неизвестно	Неизвестно	Одиночки	Белый Сад  Велен	Перемещается в нематериальной форме. Принимает материальную форму во время атаки	Неизвестно	Лунная пыль  Масло против призраков  Знак Ирден
Призрак	Духи и призраки	Неизвестно	Покаянник	Неизвестно	На кладбищах, полях сражений и других местах насильственной смерти	Исчезает и появляется позади цели	Физические атаки (в нематериальной форме)	Лунная пыль  Масло против призраков  Знак Ирден  Знак Квен
Призрак Дафны	Духи и призраки	Призрак	Неизвестно	Одиночный	Туссент	Физические атаки (в нематериальной форме)	К ядам, оглушению и кровотечению	Масло против призраков  Знак Ирден  Лунная пыль
Призрак с картины	Духи и Призраки	Призрак	Неизвестно	Одиночный	Резиденция Эвереков	Неизвестно	К ядам, оглушению и кровотечению	Масло против призраков ,  Знак Ирден
Принц-жаба	Проклятые	Неизвестно	Неизвестно	Одиночки	Каналы Оксенфурта	Неизвестно	Неизвестно	Знак Ирден ,  Северный ветер ,  Иволга ,  Масло против проклятых
Проклятая мать	Духи и призраки	Полуночница	Неизвестно	Одиночные	Старая часовня	Неизвестно	Неизвестно	Знак Ирден  Лунная пыль  Масло против призраков
Протофледер	Вампиры	Неизвестно	Неизвестно	Стайные	Хен Гайдт	Физические атаки	Неизвестно	Масло против вампиров ,  Черная кровь
Пряха	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно
Пятнистый Вихт	Трупоеды	Вихт	Неизвестно	Одиночки	Охотничий домик Трастамара	Неизвестно	Неизвестно	Масло против трупоедов ,  Знак Ирден
Ревун	Реликты	Черт	Неизвестно	Одиночка	Велен	Неизвестно	К оглушению	Знак Квен  Знак Ирден  Масло против реликтов
Сарасти	Вампиры	Экимма	Неизвестно	Одиночные	Велен ,  деревня Стёжки	Нападает со спины	К оглушению	Масло против вампиров  Знак Игни  Чертов гриб  (бомба)
Серебристый василиск	Дракониды	Василиск	Неизвестно	Одиночки	Ядовитые скалы ,  Туссент	Неизвестно	Неизвестно	Масло против драконидов ,  Игни ,  Аард
Сильван	Реликты	Неизвестно	Неизвестно	Одиночки	Велен	Силовые атаки	Неизвестно	Самум  Чёртов гриб  Масло против реликтов  Знак Игни
Сирена	Гибриды	Неизвестно	Неизвестно	Стайные	Велен  Скеллиге	Атакуют группами с воздуха	неизвестно	Рог Хорнвала  Масло против гибридов  Знак Игни  Знак Аард
Скальный тролль	Огры	Тролль	Неизвестно	Стайные/Одиночки	Ард Скеллиг  Велен  Долина Каэр Морхена  Окрестности Боклера	Способны бросать камни во врагов	Неизвестно	Масло против огров  Знак Квен  Знак Аксий
Гигантский сколопендроморф	Инсектоиды	Неизвестно	Бледная вдова	Одиночки/Стайные	Одиночные особи встречаются повсеместно, многочисленны в  Туссенте	Атаки из-под земли  Отравление ядом	К оглушению	Масло против инсектоидов  Знак Ирден  Северный ветер  Иволга
Собака	Бестии	Неизвестно	Неизвестно	Стайные	Вблизи людских поселений	Атакуют стаями	Отсутствует	Масло против зверей  Картечь  Знак Игни
Старый Грот	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно
Суккуб	Гибриды	Неизвестно	Неизвестно	Одиночные	Близ людских поселений	Неизвестно	К огню, к  Аксию	Масло против гибридов ,  Знак Квен
Тангалор	Трупоеды	Туманник	Неизвестно	Одиночки/Стайные	Болота	Создаёт иллюзии, становится нематериальным	К оглушению	Масло против трупоедов  Знак Квен  Знак Аард
Три поросенка	Бестии	Вепрь	Неизвестно	Стайные	Страна Тысячи Сказок	Атакуют группой	Неизвестно	Масло против зверей  Знак Игни  Картечь  (бомба)
Туманник	Трупоеды	Неизвестно	Тангалор	Одиночки/Стайные	Болота	Создаёт иллюзии, становится нематериальным	К оглушению	Масло против трупоедов  Знак Квен  Знак Аард
Ульфхединн	Проклятые	Волколак	Неизвестно	Одиночки	Скеллиге	Может призывать  волков  к себе на помощь	К оглушению	Лунная пыль  Чертов гриб  Масло против проклятых  Знак Игни
Утопец	Трупоеды	Неизвестно	Плавун  Болотник	Стайные	Неизвестно	Неизвестно	Неизвестно	Знак Игни  Масло против трупоедов
Феразин	Духи стихий	Элементаль Земли	Неизвестно	Одиночки	Усадьба Мольдави	Неизвестно	К знакам  Аард ,  Игни ,  Аксий	Двимеритовая бомба ,  Масло против магических тварей ,  знак Квен ,  знак Ирден
Фея	Духи стихий	Неизвестно	Неизвестно	Стайные	Страна тысячи сказок	Неизвестно	Неизвестно	Масло против магических тварей
Фледер	Вампиры	Неизвестно	Протофледер	Стайные	Туссент	Неизвестно	Неизвестно	Масло от вампиров  Черная кровь
Фугас	Реликты	Неизвестно	Неизвестно	Неизвестно	Лысая гора ,  Велен	Контратаки	К оглушению	Масло против реликтов  Знак Квен  Самум  (бомба)  Картечь  (бомба)
Хагубман	Огры	Накер-воин	Неизвестно	Неизвестно	Хиндарсфьялл ,  Скеллиге	Призывает  накеров  и нападает из-за спины	К ядам и оглушению	Масло против огров  Северный ветер  Знак Игни  Картечь
Харриси	Инсектоиды	Главоглаз	Неизвестно	Неизвестно	Велен	Неизвестно	К ядам и оглушению	Знак Игни  Масло против инсектоидов
Хим	Духи и призраки	Неизвестно	Неизвестно	Неизвестно	Старый дом Удальрика	Внедряется в жертву и контролирует её	К оглушению	Масло против призраков  Лунная пыль  Знак Игни
Циклоп	Огры	Неизвестно	Неизвестно	Одиночки	"Скеллиге ;  Велен"	Неизвестно	Неизвестно	Знак Аксий  Знак Квен  Масло против огров
Чёрт	Реликты	Неизвестно	Неизвестно	Одиночки	Неизвестно	Сбивает с ног, рвёт когтями и зубами	Неизвестно	Чёртов гриб  Масло против реликтов  Знак Игни
Чудовище из Туфо	Реликты	Шарлей	Неизвестно	Одиночки	Совиные гроты ,  Туссент	Сворачивается в клубок и таранит цель	К оглушению	Самум  Масло против реликтов  Знак Квен
Шарлей	Реликты	Неизвестно	Неизвестно	Одиночки	Туссент	Сворачивается в шар и таранит цель	Неизвестно	Самум  Масло против реликтов  Знак Аард
Шарлей от императора Нильфгаарда	Реликты	Шарлей	Неизвестно	Одиночки	Турнирная арена ,  Туссент	Сворачивается в клубок и таранит цель	К оглушению	Масло против реликтов  Знак Аард  Картечь  (бомба)
Шептуха	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно	Неизвестно
Экимма	Вампир	Неизвестно	Неизвестно	Одиночное	Пещеры, подвалы	Исчезает и нападает со спины	Неизвестно	Чёртов гриб  Знак Игни  Масло против вампиров
Элементаль Земли	Духи стихий	Элементаль	Неизвестно	Одиночки	Неизвестно	Неизвестно	К яду и кровотечению	Двимеритовая бомба  Масло против магических тварей  Знак Квен
Элементаль Льда	Духи стихий	Элементаль	Неизвестно	Одиночки	Неизвестно	Неизвестно	К ядам и кровотечению	Двимеритовая бомба  Масло против магических тварей
Элементаль Огня	Духи стихий	Элементаль	Неизвестно	Одиночки	В заброшенных руинах	Неизвестно	К  Игни , ядам, кровотечению	Двимеритовая бомба  Масло против магических тварей  Знак Аард
Эндриага-воин	Инсектоиды	Эндриага	Неизвестно	Стайные	Леса, пещеры	Неизвестно	Неизвестно	Иволга  Масло против инсектоидов  Знак Игни
Эндриага-работница	Инсектоиды	Эндриага	Неизвестно	Стайные	Неизвестно	Неизвестно	Неизвестно	Иволга  Масло против инсектоидов  Знак Игни
Эндриага-трутень	Инсектоиды	Неизвестно	Неизвестно	Стайные	Леса	Атакуют группами, стреляют ядовитыми шипами	К яду	Иволга  Масло от инсектоидов  Знак Игни
Эриния	Гибриды	Неизвестно	Неизвестно	Стайные	Острова Скеллиге	Пикирование с высоты	К оглушению	Картечь  Масло против гибридов  Знак Аард
Этерал	Духи и призраки  Демоны [1]	Неизвестно	Неизвестно	Стайные	Нарисованный мир	Неизвестно	Неизвестно	Масло против призраков ,  Пурга
Эхидна	Гибриды	Сирена	Неизвестно	Неизвестно	Неизвестно	Полеты и подводные атаки	Неизвестно	Масло против гибридов  Аард  Игни
Ядовитый Главоглаз	Инсектоиды	Главоглаз	Неизвестно	Одиночки	Велен , Архипелаг  Скеллиге	Неизвестно	К ядам и оглушению	Знак Квен  Знак Игни  Масло против инсектоидов  Иволга
Ящер-матриарх	Дракониды	Ослизг	Неизвестно	Одиночки/Семейные группы	Туссент ,  Уссар	Неизвестно	Неизвестно	Масло против драконидов  Знак Аард